公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
5225,東科-KY,1908.53,5.42,-6.6,-7.47,-7.6
5234,達興材料,1074.61,36.39,17.21,16.66,15.07
5243,乙盛-KY,2675.83,17.01,6.34,6.85,5.1
5258,虹堡,794.62,28.21,3.11,1.81,1.22
5269,祥碩,1579.44,49.98,30.87,50.81,45.22
5283,禾聯碩,1293.7,37.81,14.51,16.2,12.25
5284,jpp-KY,363.09,36.17,17.97,18.93,14.78
5285,界霖,1452.31,17.44,9.48,9.92,7.75
5288,豐祥-KY,1317.59,22.37,15.77,17.03,13.43
5388,中磊,9597.87,13.29,1.82,1.79,1.46
5434,崇越,9532.89,11.52,5.31,6.47,4.77
5469,瀚宇博,12346.15,20.23,11.43,12.99,9.64
5471,松翰,1387.12,44.2,25.67,25.72,19.41
5484,慧友,85.44,30.91,-8.27,-3.46,-3.87
5515,建國,1192.25,10.25,4.47,17.3,11.61
5519,隆大,580.42,20.05,7.98,7.95,7.3
5521,工信,529.26,14.08,7.15,7.29,4.39
5522,遠雄,3973.03,36.81,26.66,25.81,19.15
5525,順天,136.82,31.97,-5.28,-17.85,-22.52
