,民國110年03月,,,,,,,March 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
063785 華通中信06購02,"346,010","526,000",24,0.66,0.70,0.62,0.84,03/02,0.62,03/31,
06378P A50正2群益08售01,"374,020","112,000",46,3.34,3.35,3.44,3.91,03/25,2.88,03/02,
06379P 廣宇群益08售05,"1,158,160","1,382,000",77,0.84,0.82,0.69,1.00,03/09,0.65,03/24,
06380P 亞光群益08售03,"5,198,130","3,819,000",208,1.36,1.37,1.30,1.53,03/04,1.06,03/08,
06381P 南電群益08售05,"15,025,450","11,141,000",599,1.35,1.35,0.84,1.77,03/05,0.84,03/31,
06382P 國巨國泰0A售02,"16,962,510","5,833,000",314,2.91,2.81,2.84,3.26,03/09,2.41,03/02,
06383P 台積電統一09售23,"2,650,570","2,346,000",111,1.13,1.10,1.07,1.26,03/25,1.02,03/17,
06384P 聯詠統一08售04,"1,355,870","1,643,000",104,0.83,0.82,0.58,1.02,03/05,0.58,03/31,
06386P 聯詠國票08售02,"8,147,930","6,212,000",219,1.31,1.32,0.79,1.82,03/05,0.74,03/31,
06387P 祥碩國票08售01,"1,803,430","1,067,000",63,1.69,1.64,1.74,1.87,03/22,1.39,03/02,
06388P 臺股指中信0B售12,"1,790,490","693,000",120,2.58,2.61,2.36,2.97,03/05,2.30,03/31,
06389P T50正2群益09售04,"1,231,530","917,000",70,1.34,1.32,1.16,1.60,03/05,1.13,03/30,
06390P 創意群益08售07,"7,935,190","4,204,000",231,1.89,1.89,1.85,2.15,03/25,1.58,03/02,
06391P 上証2X凱基09售02,"361,160","148,000",16,2.44,2.55,2.55,2.74,03/09,2.36,03/04,
06392P 台積電凱基08售35,"5,863,830","1,879,000",70,3.12,3.08,3.24,3.49,03/09,2.84,03/12,
06393P 旺宏凱基08售09,"6,517,610","3,185,000",245,2.05,1.98,1.74,2.41,03/08,1.66,03/30,
06394P 華新科凱基08售07,"10,231,090","5,366,000",290,1.91,1.92,1.82,2.20,03/09,1.45,03/02,
06395P 南電元大08售10,"19,646,170","16,451,000",306,1.19,1.33,0.91,1.65,03/09,0.91,03/31,
06396P 南電統一09售10,"4,066,910","4,129,000",171,0.98,1.00,0.67,1.25,03/05,0.67,03/31,
06397P 大立光中信08售03,"232,400","254,000",13,0.91,0.91,0.92,0.97,03/25,0.88,03/19,
06398P 華新科群益08售06,"1,609,130","666,000",76,2.42,2.48,2.39,2.79,03/10,2.29,03/17,
06399P 嘉澤元大08售03,"1,783,240","1,286,000",51,1.39,1.39,1.31,1.52,03/09,1.29,03/25,
06400P 健策元大08售06,"8,458,580","4,180,000",226,2.02,1.89,1.89,3.42,03/25,1.65,03/03,
06401P 和碩元大08售04,"3,009,930","1,703,000",110,1.77,1.72,1.57,1.95,03/11,1.53,03/25,
06402P 祥碩元大08售09,"3,197,520","1,500,000",90,2.13,2.13,2.20,2.31,03/11,1.88,03/10,
06403P T50正2凱基0A售02,"1,266,680","790,000",43,1.60,1.55,1.34,1.82,03/05,1.32,03/30,
06404P 南亞科元富08售04,"1,797,770","1,018,000",103,1.77,1.72,1.57,2.09,03/09,1.49,03/02,
06405P 友達元富08售04,"2,417,550","1,921,000",75,1.26,1.25,0.85,1.52,03/09,0.81,03/31,
06406P 大立光元富08售03,"939,450","513,000",16,1.83,1.91,2.14,2.14,03/31,1.70,03/11,
064077 台積電中信06購03,"23,000","2,000",1,11.50,11.50,11.50,11.50,03/31,11.50,03/31,
064078 台積電中信06購04,"162,300","12,000",4,13.52,13.80,13.50,14.50,03/03,13.30,03/11,
06407P 華邦電永豐09售02,"1,168,710","722,000",35,1.62,1.51,1.30,1.76,03/09,1.30,03/31,
064080 宏達電中信06購01,"187,700","655,000",15,0.29,0.30,0.26,0.36,03/03,0.26,03/30,
064082 緯創中信06購01,"1,338,010","1,581,000",147,0.85,0.81,0.85,1.00,03/23,0.71,03/03,
064083 群創中信06購01,"43,200","4,000",2,10.80,11.10,11.10,11.10,03/22,10.50,03/22,
064084 群創中信06購02,"21,400","2,000",2,10.70,10.70,11.40,11.40,03/24,10.00,03/22,
06409P 大立光群益0A售01,"220,440","162,000",8,1.36,1.39,1.50,1.50,03/24,1.29,03/11,
06410P 景碩群益09售01,"7,955,090","6,160,000",241,1.29,1.39,0.89,1.61,03/05,0.83,03/31,
06411P 滬深2X凱基0B售02,"87,620","44,000",17,1.99,2.05,2.34,2.34,03/25,1.71,03/03,
06412P 台積電凱基13售01,"27,840","16,000",6,1.74,1.75,1.73,1.89,03/09,1.66,03/17,
06413P 臺股指凱基11售01,"872,470","974,000",83,0.90,0.91,0.79,1.07,03/05,0.78,03/30,
06414P 大立光元大09售07,"949,780","488,000",15,1.95,1.91,1.94,2.03,03/25,1.71,03/18,
06415P 台表科元大09售01,"3,315,290","2,321,000",143,1.43,1.32,1.12,1.77,03/09,1.07,03/31,
06416P 臺股指元大0B售08,"41,584,280","16,461,000",352,2.53,2.55,2.17,3.06,03/09,2.09,03/31,
06417P 臺股指元大0B售09,"13,005,640","9,420,000",314,1.38,1.38,1.19,1.67,03/05,1.13,03/31,
06418P 臺股指元大0B售10,"16,512,680","10,991,000",452,1.50,1.47,1.27,1.75,03/05,1.22,03/31,
06419P 南電國票0A售01,"8,043,900","8,200,000",114,0.98,1.15,0.71,1.53,03/09,0.69,03/30,
064207 國巨凱基03購02,"67,830","21,000",1,3.23,3.23,3.23,3.23,03/02,3.23,03/02,
06420P 臺股指國票09售18,"352,370","113,000",27,3.12,3.32,2.45,4.30,03/09,2.45,03/31,
064210 台光電凱基03購01,"48,800","80,000",1,0.61,0.61,0.61,0.61,03/04,0.61,03/04,
064212 可成凱基03購01,"3,340","167,000",1,0.02,0.02,0.02,0.02,03/04,0.02,03/04,
064219 滬深2X國票03購01,"23,280","6,000",1,3.88,3.88,3.88,3.88,03/03,3.88,03/03,
06421P 臺股指國票09售19,"46,040","16,000",8,2.88,2.75,2.50,3.15,03/05,2.50,03/15,
06422P 臺股指國票09售20,"828,050","570,000",27,1.45,1.45,1.30,1.72,03/10,1.28,03/30,
06423P 創意統一0A售10,"1,386,730","1,301,000",33,1.07,1.10,1.11,1.21,03/25,1.03,03/04,
064249 聯發科元富06購01,"68,300","12,000",2,5.69,5.88,6.15,6.15,03/25,5.60,03/11,
06424P 滬深2X元富09售04,"331,980","122,000",37,2.72,2.79,3.00,3.15,03/19,2.28,03/04,
06425P 台積電富邦0A售03,"1,726,300","902,000",42,1.91,1.98,2.00,2.21,03/25,1.84,03/17,
06426P 南電中信09售02,"4,283,570","7,236,000",409,0.59,0.70,0.52,0.84,03/09,0.51,03/31,
06427P 義隆統一09售03,"1,348,630","1,701,000",77,0.79,0.81,0.64,0.97,03/09,0.59,03/31,
06428P 台積電台新0A售01,"7,433,420","6,043,000",99,1.23,1.20,1.28,1.33,03/05,1.02,03/15,
06429P 滬深2X凱基09售01,"869,720","336,000",12,2.59,2.46,2.57,2.68,03/23,2.24,03/12,
06430P 友達凱基09售07,"1,650,530","1,374,000",78,1.20,1.16,0.82,1.41,03/09,0.80,03/30,
06431P 大立光凱基09售07,"2,292,600","1,771,000",38,1.29,1.36,1.44,1.48,03/24,1.19,03/10,
06432P 群創凱基09售09,"10,234,310","9,407,000",371,1.09,1.10,0.62,1.42,03/03,0.57,03/29,
06433P 鴻海元大09售11,"1,125,610","1,026,000",27,1.10,1.02,0.78,1.34,03/03,0.70,03/24,
06434P 大立光元大09售08,"2,163,630","916,000",20,2.36,2.35,2.36,2.50,03/25,2.29,03/16,
06435P 上証2X群益09售03,"401,660","140,000",65,2.87,2.87,2.89,3.33,03/25,2.55,03/18,
06436P 滬深2X群益09售04,"8,790,390","2,477,000",78,3.55,3.53,3.48,4.04,03/25,3.09,03/18,
064373 和大元富03購01,"55,250","85,000",1,0.65,0.65,0.65,0.65,03/02,0.65,03/02,
064375 智邦元富03購01,"25,200","45,000",1,0.56,0.56,0.56,0.56,03/02,0.56,03/02,
06437P 旺宏群益0B售03,"502,580","216,000",27,2.33,2.32,2.21,2.45,03/17,2.15,03/31,
06438P 鴻海國票0B售03,"1,363,570","2,277,000",74,0.60,0.65,0.54,1.02,03/09,0.41,03/23,
06439P 欣興國票0A售01,"3,636,880","1,877,000",91,1.94,1.89,1.78,2.04,03/25,1.71,03/30,
064401 台達電凱基06購01,"20,150","3,000",3,6.72,6.72,6.45,7.15,03/18,6.45,03/24,
06440P 國泰金元富09售02,"3,625,510","2,532,000",128,1.43,1.41,0.96,2.26,03/08,0.96,03/31,
06441P 台灣50台新09售01,"322,500","300,000",2,1.08,1.08,1.21,1.21,03/05,0.94,03/04,
06442P 友達元大09售08,"4,509,510","3,105,000",138,1.45,1.50,1.16,1.77,03/09,1.10,03/29,
064436 聯發科凱基03購02,"56,800","4,000",1,14.20,14.20,14.20,14.20,03/02,14.20,03/02,
064439 大立光凱基03購02,100,"10,000",10,0.01,0.01,0.01,0.01,03/03,0.01,03/03,
06443P 大立光元大09售09,"358,330","208,000",6,1.72,1.76,1.74,1.83,03/24,1.70,03/16,
064443 同欣電凱基03購01,"8,700","10,000",1,0.87,0.87,0.87,0.87,03/04,0.87,03/04,
06444P 群創元大09售07,"2,649,290","3,070,000",190,0.86,1.09,0.67,1.41,03/09,0.61,03/30,
06445P 鴻海群益09售10,"846,730","871,000",19,0.97,0.98,0.68,1.35,03/09,0.68,03/24,
06446P 滬深2X凱基0B售03,"541,940","344,000",15,1.58,1.52,1.47,1.70,03/09,1.41,03/17,
06447P 嘉澤凱基09售02,"1,373,940","1,185,000",57,1.16,1.15,1.11,1.25,03/09,1.07,03/30,
06448P 和碩凱基09售02,"4,367,900","2,907,000",168,1.50,1.44,1.34,1.63,03/11,1.34,03/31,
06449P 南電凱基09售07,"1,015,070","1,113,000",75,0.91,1.02,0.70,1.36,03/09,0.70,03/30,
06450P 台積電元大09售16,"204,700","87,000",10,2.35,2.34,2.17,2.52,03/09,2.17,03/26,
06451P 台積電元大09售17,"4,762,550","2,276,000",57,2.09,2.12,2.10,2.40,03/25,1.96,03/17,
06452P 南電元大09售03,"15,569,960","12,702,000",167,1.23,1.34,1.00,1.80,03/25,0.97,03/30,
06453P 鴻海富邦0B售02,"1,928,890","5,406,000",88,0.36,0.41,0.38,0.61,03/09,0.29,03/23,
06454P 華邦電群益09售03,"170,870","60,000",11,2.85,2.82,2.73,3.17,03/10,2.70,03/19,
06455P 滬深2X凱基09售04,"67,140","45,000",9,1.49,1.49,1.50,1.63,03/25,1.38,03/18,
06456P 台積電凱基13售02,"383,560","457,000",61,0.84,0.82,0.80,0.90,03/09,0.78,03/29,
064579 大立光富邦03購02,100,"10,000",10,0.01,0.01,0.01,0.01,03/04,0.01,03/04,
06457P 緯穎凱基09售01,"918,910","923,000",49,1.00,1.00,0.95,1.16,03/09,0.87,03/15,
06458P 強茂中信09售01,"231,000","358,000",19,0.65,0.65,0.63,0.68,03/25,0.61,03/31,
06460P 鴻海兆豐0C售01,"145,780","397,000",12,0.37,0.36,0.39,0.39,03/31,0.33,03/23,
06461P 台積電兆豐0A售01,"543,940","487,000",23,1.12,1.13,1.13,1.27,03/09,1.02,03/12,
06462P 為升元大09售02,"3,298,780","3,081,000",159,1.07,1.18,0.89,1.53,03/10,0.88,03/31,
06463P 聯發科元大09售05,"1,135,250","544,000",35,2.09,2.10,1.47,2.66,03/09,1.47,03/31,
064640 和大凱基03購01,"13,300","70,000",1,0.19,0.19,0.19,0.19,03/04,0.19,03/04,
064645 義隆凱基03購01,"70,100","30,000",3,2.34,2.34,2.33,2.35,03/08,2.33,03/09,
06464P 鴻海國票0B售04,"580,400","480,000",5,1.21,1.25,1.14,1.31,03/08,1.14,03/11,
064650 台表科凱基03購01,640,"16,000",5,0.04,0.04,0.01,0.08,03/02,0.01,03/08,
06465P T50正2中信0C售02,"100,980","108,000",14,0.94,0.95,0.87,1.01,03/11,0.87,03/30,
06466P 臺股指中信0C售06,"7,640","12,000",4,0.64,0.64,0.64,0.64,03/24,0.63,03/22,
06467P T50正2凱基0B售02,"21,000","20,000",1,1.05,1.05,1.05,1.05,03/31,1.05,03/31,
06468P 大成鋼元富09售01,"148,900","77,000",10,1.93,1.97,1.77,2.04,03/22,1.75,03/31,
06469P 友達元富09售08,"3,723,900","2,783,000",130,1.34,1.49,1.13,1.85,03/09,1.04,03/30,
06470P 華新科元富0A售04,"444,660","360,000",44,1.24,1.26,1.15,1.42,03/10,1.15,03/30,
06471P 台灣50台新09售02,"995,570","1,206,000",28,0.83,0.77,0.69,0.93,03/09,0.67,03/30,
06472P 聯電台新09售01,"2,676,150","2,659,000",125,1.01,0.99,0.86,1.50,03/09,0.85,03/29,
06473P 南電元大09售07,"5,972,450","4,994,000",66,1.20,1.33,0.97,1.79,03/10,0.95,03/31,
06474P 大立光國票0A售02,"47,000","30,000",3,1.57,1.57,1.69,1.69,03/31,1.46,03/18,
06475P 南電國泰0B售03,"3,382,970","4,442,000",304,0.76,0.86,0.61,1.09,03/09,0.59,03/31,
064768 仁寶中信03購01,"12,750","320,000",10,0.04,0.05,0.01,0.10,03/02,0.01,03/11,
06476P 聯發科中信09售04,"211,600","300,000",12,0.71,0.72,0.61,0.80,03/23,0.61,03/30,
06477P 聯發科中信0A售05,"157,670","318,000",8,0.50,0.50,0.47,0.52,03/26,0.47,03/31,
06478P 台積電台新09售01,"2,047,510","2,411,000",25,0.85,0.83,0.84,0.88,03/10,0.76,03/12,
06479P 聯電群益0A售04,"531,530","366,000",72,1.45,1.49,1.31,1.70,03/10,1.30,03/29,
06480P 台積電凱基09售17,"118,500","60,000",2,1.98,1.98,2.00,2.00,03/25,1.95,03/24,
06483P 台積電兆豐0A售04,"187,020","188,000",8,0.99,1.00,0.97,1.12,03/24,0.92,03/29,
064846 旺宏元富03購01,"279,300","585,000",13,0.48,0.82,0.44,1.96,03/02,0.34,03/10,
06484P 滬深2X元大09售07,"159,280","80,000",23,1.99,1.96,1.74,2.17,03/25,1.74,03/30,
06485P 滬深2X元大09售08,"1,142,840","646,000",34,1.77,1.85,1.71,2.08,03/25,1.71,03/30,
06486P 台積電元大0B售04,"359,110","160,000",20,2.24,2.29,2.29,2.58,03/25,2.14,03/18,
06487P 全新元大09售01,"500,710","500,000",30,1.00,1.00,0.83,1.14,03/16,0.83,03/30,
06488P 臺股指元大0A售19,"1,424,900","902,000",3,1.58,1.58,1.65,1.66,03/19,1.50,03/18,
06489P 臺股指元大0A售20,"1,767,860","974,000",4,1.82,1.74,1.60,1.91,03/19,1.60,03/29,
06490P 臺股指元大0A售21,"2,048,940","1,004,000",8,2.04,2.09,2.15,2.18,03/19,1.94,03/18,
06492P 鴻海凱基09售09,"43,200","77,000",8,0.56,0.55,0.57,0.60,03/19,0.49,03/22,
06493P 國巨凱基09售10,"243,670","212,000",17,1.15,1.16,1.11,1.24,03/19,1.08,03/18,
06494P 聯發科凱基09售08,"395,230","342,000",23,1.16,1.12,0.83,1.35,03/24,0.83,03/31,
06495P 晶豪科凱基09售04,"3,458,730","3,803,000",128,0.91,0.92,0.69,1.10,03/12,0.65,03/31,
064960 世紀鋼凱基03購01,"6,050","35,000",2,0.17,0.16,0.13,0.18,03/02,0.13,03/04,
06496P 大立光凱基09售09,"259,620","210,000",22,1.24,1.26,1.32,1.35,03/24,1.14,03/18,
06497P 友達兆豐09售03,"791,260","963,000",95,0.82,0.89,0.69,1.10,03/12,0.62,03/29,
06498P 創意兆豐09售03,"803,960","844,000",57,0.95,0.94,0.95,1.07,03/25,0.82,03/15,
06499P 元石油元大09售01,"798,980","504,000",24,1.59,1.58,1.53,1.76,03/24,1.35,03/12,
06500P 鴻海元大0A售01,"3,650,120","3,638,000",158,1.00,1.00,1.06,1.10,03/22,0.86,03/23,
065018 台達電富邦03購01,"324,900","95,000",1,3.42,3.42,3.42,3.42,03/11,3.42,03/11,
06501P 京元電元大09售01,"1,455,530","800,000",57,1.82,1.81,1.62,2.11,03/12,1.62,03/31,
065027 玉晶光中信03購01,100,"10,000",10,0.01,0.01,0.01,0.01,03/10,0.01,03/10,
06502P 聯詠元大09售03,"2,204,770","1,696,000",88,1.30,1.39,1.02,1.78,03/15,0.99,03/31,
06503P 日月光元大09售04,"930,600","595,000",29,1.56,1.51,1.41,1.71,03/15,1.36,03/30,
06504P 鴻海元富0C售04,"427,090","838,000",46,0.51,0.50,0.55,0.57,03/19,0.41,03/23,
06505P 國巨元富0C售06,"248,980","317,000",29,0.79,0.78,0.78,0.82,03/19,0.75,03/15,
06506P 台積電元富0C售12,"687,680","1,244,000",50,0.55,0.55,0.55,0.63,03/25,0.51,03/18,
06507P 台積電元富0C售13,"230,790","296,000",15,0.78,0.78,0.77,0.85,03/26,0.74,03/17,
06508P 台積電群益0A售05,"767,750","210,000",6,3.66,3.66,3.97,3.97,03/24,3.37,03/12,
06509P 上銀國票0A售02,"7,161,470","3,805,000",77,1.88,1.82,1.81,1.96,03/25,1.66,03/18,
06510P 鴻海國票0A售04,"280,100","379,000",21,0.74,0.75,0.80,0.91,03/15,0.62,03/23,
065119 大立光富邦03購03,"15,190","1,519,000",24,0.01,0.01,0.01,0.01,03/12,0.01,03/12,
06511P 台積電國票0A售05,"948,440","354,000",9,2.68,2.71,2.58,3.09,03/24,2.54,03/18,
06512P 台灣50群益0A售02,"13,884,790","6,014,000",187,2.31,2.34,2.12,2.78,03/25,2.04,03/30,
065139 華通凱基03購01,"2,400","60,000",2,0.04,0.04,0.04,0.04,03/08,0.04,03/08,
06513P T50正2群益0B售01,"265,410","100,000",14,2.65,2.67,2.48,2.87,03/25,2.48,03/26,
06514P 國巨兆豐09售03,"802,120","945,000",34,0.85,0.85,0.78,0.90,03/19,0.78,03/30,
06515P 日月光兆豐09售02,"158,360","218,000",18,0.73,0.74,0.68,0.84,03/17,0.66,03/29,
06516P 台積電凱基12售01,"1,128,080","745,000",23,1.51,1.52,1.53,1.60,03/24,1.47,03/29,
06517P 台積電凱基12售02,"218,370","129,000",20,1.69,1.70,1.71,1.77,03/24,1.65,03/30,
06518P 上証2X元富09售02,"36,150","26,000",9,1.39,1.38,1.45,1.47,03/22,1.23,03/18,
065193 和大元富03購02,"22,300","295,000",8,0.08,0.06,0.02,0.09,03/02,0.02,03/08,
065195 國巨元富06購01,"482,010","143,000",22,3.37,2.88,2.78,3.53,03/02,2.41,03/10,
065196 技嘉元富06購01,"108,790","41,000",12,2.65,2.32,2.78,2.78,03/12,1.88,03/05,
065197 景碩元富06購01,"204,270","136,000",12,1.50,1.62,2.03,2.06,03/31,1.41,03/11,
065198 玉晶光元富06購01,"568,070","3,642,000",78,0.16,0.17,0.14,0.26,03/02,0.12,03/26,
065199 華擎元富03購01,"21,400","100,000",3,0.21,0.18,0.11,0.32,03/02,0.10,03/11,
06519P 上銀元富09售03,"1,416,230","1,165,000",99,1.22,1.22,1.23,1.35,03/25,1.08,03/18,
06520P 台積電元富13售02,"901,440","863,000",55,1.04,1.04,1.04,1.16,03/25,0.98,03/17,
06521P 聯電國泰0B售02,"4,795,360","3,255,000",206,1.47,1.51,1.34,1.71,03/19,1.30,03/31,
06522P 大立光富邦0B售01,"710,990","999,000",29,0.71,0.71,0.74,0.75,03/24,0.66,03/18,
06523P 聯電元大09售04,"69,500","50,000",1,1.39,1.39,1.39,1.39,03/31,1.39,03/31,
06524P 台積電元大09售19,"2,070","1,000",1,2.07,2.07,2.07,2.07,03/25,2.07,03/25,
06525P 台積電元大09售20,"573,350","335,000",11,1.71,1.70,1.67,1.91,03/24,1.61,03/18,
06526P 聯發科元大09售08,"882,060","586,000",17,1.51,1.58,1.24,1.80,03/19,1.24,03/30,
06528P 滬深2X群益09售07,"63,660","40,000",9,1.59,1.56,1.75,1.75,03/25,1.39,03/18,
06529P 元石油群益09售02,"88,700","80,000",7,1.11,1.11,1.09,1.14,03/29,1.08,03/30,
065304 台勝科元富03購01,"13,000","100,000",1,0.13,0.13,0.13,0.13,03/02,0.13,03/02,
06530P 臺股指群益09售05,"4,310,150","1,560,000",136,2.76,2.64,2.18,3.06,03/19,2.17,03/31,
065315 玉晶光中信03購02,"51,800","5,180,000",42,0.01,0.01,0.01,0.01,03/17,0.01,03/17,
06531P 臺股指群益09售06,"270,700","111,000",39,2.44,2.21,1.97,2.73,03/25,1.97,03/30,
06532P 聯電兆豐0A售02,"407,870","426,000",74,0.96,0.97,0.86,1.11,03/19,0.83,03/31,
06533P 聯電元大09售05,"1,816,240","992,000",35,1.83,1.74,1.48,2.04,03/19,1.48,03/31,
06534P 晶豪科國票09售01,"4,599,160","6,923,000",222,0.66,0.79,0.55,0.93,03/17,0.50,03/31,
065355 聯發科元富03購05,"94,500","10,000",1,9.45,9.45,9.45,9.45,03/17,9.45,03/17,
065357 立積元富03購01,"17,000","1,000",1,17.00,17.00,17.00,17.00,03/17,17.00,03/17,
06535P 日月光國票0A售03,"204,070","270,000",18,0.76,0.77,0.72,0.86,03/17,0.66,03/30,
06536P 富邦金中信09售01,"542,180","659,000",53,0.82,0.77,0.63,0.92,03/22,0.63,03/31,
065375 神基元大03購01,"324,070","203,000",11,1.60,1.38,1.82,1.82,03/18,0.93,03/02,
06537P 台積電麥證09售06,"69,870","83,000",9,0.84,0.85,0.80,0.89,03/22,0.80,03/31,
065385 億豐元大03購01,"49,680","26,000",10,1.91,1.92,1.75,2.09,03/02,1.74,03/03,
06539P 臺股指凱基09售25,"2,460,760","1,136,000",10,2.17,2.10,2.03,2.32,03/22,2.03,03/23,
065405 華新科富邦03購01,"5,020","5,000",2,1.00,1.00,0.95,1.04,03/03,0.95,03/15,
06540P 臺股指凱基09售26,"2,982,260","1,293,000",14,2.31,2.26,1.94,2.42,03/19,1.94,03/31,
06541P 臺股指凱基09售27,"3,216,110","1,326,000",24,2.43,2.47,2.65,2.65,03/24,2.31,03/18,
065428 旺宏凱基03購01,"854,030","414,000",7,2.06,1.70,1.46,2.12,03/02,1.46,03/15,
06542P 臺股指凱基09售28,"46,000","20,000",2,2.30,2.30,2.20,2.40,03/26,2.20,03/30,
06543P 臺股指凱基0C售09,"650,130","478,000",3,1.36,1.36,1.42,1.42,03/19,1.31,03/18,
06544P 聯發科富邦0B售01,"840,970","872,000",71,0.96,0.97,0.81,1.12,03/24,0.81,03/31,
065458 立積元富03購02,"1,670,000","100,000",1,16.70,16.70,16.70,16.70,03/10,16.70,03/10,
06545P 聯詠富邦0B售02,"595,720","939,000",98,0.63,0.68,0.58,0.76,03/22,0.55,03/31,
06546P 臺股指元大09售08,"1,033,900","844,000",3,1.22,1.23,1.29,1.29,03/19,1.16,03/18,
06547P 臺股指元大09售09,"35,090","23,000",3,1.53,1.50,1.43,1.56,03/24,1.43,03/26,
06548P 臺股指元大09售10,"309,000","375,000",6,0.82,0.82,0.73,0.91,03/24,0.73,03/31,
065492 台灣50富邦03購02,"5,500","1,000",1,5.50,5.50,5.50,5.50,03/02,5.50,03/02,
065498 台積電富邦04購02,"81,300","4,000",4,20.32,20.33,18.40,22.50,03/03,18.40,03/24,
06550P 臺股指元大09售12,"251,400","245,000",11,1.03,1.14,1.00,1.25,03/22,0.99,03/29,
06551P 臺股指元大0C售02,"3,878,830","3,207,000",81,1.21,1.25,1.15,1.36,03/22,1.11,03/31,
065528 FBVIX中信04購01,300,"10,000",1,0.03,0.03,0.03,0.03,03/16,0.03,03/16,
06552P 台灣50群益0A售04,"5,942,220","1,758,000",79,3.38,3.45,3.21,3.99,03/25,3.08,03/31,
06553P 台灣50群益0A售05,"8,075,090","5,402,000",41,1.49,1.47,1.39,1.64,03/25,1.35,03/30,
06554P 台積電群益0A售09,"271,670","88,000",15,3.09,3.01,2.94,3.34,03/25,2.79,03/29,
06555P 臺股指群益09售07,"161,810","71,000",12,2.28,2.28,1.97,2.57,03/19,1.96,03/29,
06556P 臺股指群益09售08,"156,990","64,000",7,2.45,2.57,2.30,3.02,03/19,2.24,03/30,
06557P 臺股指群益09售09,"832,760","279,000",20,2.98,2.68,2.54,3.28,03/25,2.46,03/30,
065585 聯發科富邦03購02,"356,250","95,000",1,3.75,3.75,3.75,3.75,03/19,3.75,03/19,
065586 嘉聯益富邦03購01,"211,400","740,000",8,0.29,0.29,0.19,0.37,03/03,0.19,03/19,
06558P 金融類群益09售02,"97,860","45,000",8,2.17,2.14,2.09,2.32,03/25,2.08,03/29,
06559P 台積電統一0A售10,"43,980","55,000",8,0.80,0.78,0.75,0.84,03/26,0.75,03/29,
06560P 晶豪科統一09售04,"250,850","390,000",14,0.64,0.61,0.46,0.68,03/25,0.46,03/31,
065622 鴻海中信06購01,"11,118,300","567,000",230,19.61,18.14,17.60,26.80,03/23,10.60,03/04,
06563P 台積電元富0C售15,"1,111,630","1,344,000",54,0.83,0.80,0.78,0.93,03/25,0.72,03/29,
06564P 富邦金元富0C售05,"4,650","10,000",2,0.46,0.46,0.47,0.47,03/22,0.46,03/17,
06565P 寶成元富09售02,"187,030","95,000",19,1.97,2.01,1.88,2.14,03/24,1.88,03/29,
06566P 台灣50中信11售01,"169,120","138,000",15,1.23,1.20,1.14,1.31,03/25,1.12,03/30,
06567P 華邦電凱基09售03,"181,230","187,000",18,0.97,0.97,0.88,1.08,03/19,0.87,03/29,
06568P 可成凱基09售02,"44,110","43,000",5,1.03,0.97,0.85,1.06,03/19,0.85,03/30,
06569P 景碩凱基09售04,"2,502,690","2,638,000",179,0.95,1.11,0.81,1.38,03/22,0.75,03/31,
06570P 聯發科群益0C售01,"621,100","599,000",11,1.04,1.09,0.96,1.34,03/24,0.96,03/31,
06571P 台灣50元大0C售02,"123,300","160,000",8,0.77,0.78,0.79,0.80,03/25,0.75,03/23,
06572P 台灣50元大0C售03,"434,580","568,000",26,0.77,0.75,0.72,0.84,03/25,0.69,03/30,
06573P 台灣50元大0C售04,"160,190","201,000",20,0.80,0.81,0.77,0.88,03/25,0.74,03/30,
06574P 台灣50元大0C售05,"4,257,550","4,616,000",76,0.92,0.89,0.86,0.99,03/25,0.82,03/31,
06575P 儒鴻元大09售02,"872,810","654,000",39,1.33,1.34,1.26,1.45,03/22,1.22,03/26,
06576P 南亞科元大09售04,"626,220","355,000",32,1.76,1.76,1.62,1.90,03/25,1.62,03/31,
065773 鴻海國票03購01,"14,708,260","2,140,000",92,6.87,9.17,14.10,20.40,03/23,4.03,03/09,
06577P 富邦金元大09售04,"1,431,130","813,000",58,1.76,1.86,1.53,2.17,03/22,1.42,03/31,
065780 國巨富邦03購02,"111,080","53,000",19,2.10,2.12,1.29,3.02,03/03,1.29,03/25,
06578P 國泰金元大09售02,"1,763,940","1,013,000",50,1.74,1.74,1.49,2.16,03/19,1.41,03/31,
06579P 大立光元富0C售03,"730,520","296,000",18,2.47,2.45,2.52,2.57,03/25,2.33,03/19,
06580P 日月光元富09售03,"18,680","20,000",3,0.93,0.92,0.91,0.96,03/22,0.91,03/23,
065816 聯發科元富03購07,"262,500","50,000",1,5.25,5.25,5.25,5.25,03/25,5.25,03/25,
