,民國110年01月,,,,,,,January 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
00638R 元大滬深300反1,"242,897,472","32,112,093","4,187",7.56,7.53,7.62,7.95,01/04,7.30,01/13,49.83
00639  富邦深100,"797,205,827","44,357,743","11,200",17.97,18.02,17.63,18.82,01/25,16.75,01/04,40.92
00640L 富邦日本正2,"438,572,638","17,153,855","2,117",25.57,25.64,24.78,26.85,01/14,23.86,01/04,118.97
00641R 富邦日本反1,"66,815,510","5,776,000","1,014",11.57,11.56,11.74,11.97,01/04,11.30,01/14,22.87
00642U 元大S&P石油,"3,759,632,159","424,246,027","66,990",8.86,8.88,8.92,9.22,01/13,8.19,01/05,20.20
00643  群益深証中小,"566,225,265","28,743,733","7,542",19.70,19.72,19.30,20.31,01/13,18.50,01/04,30.23
00643K 群益深証中小+R,"59,130","13,000",9,4.55,4.58,4.64,4.67,01/21,4.36,01/04,10.74
00645  富邦日本,"141,197,291","5,859,935",994,24.10,24.12,23.64,24.78,01/14,23.36,01/04,46.89
00646  元大S&P500,"1,001,634,718","30,851,638","8,570",32.47,32.42,31.92,33.02,01/25,31.70,01/06,20.30
00647L 元大S&P500正2,"238,721,419","4,702,993","1,235",50.76,51.09,49.59,53.10,01/21,48.55,01/05,73.30
00648R 元大S&P500反1,"233,826,200","28,100,000","2,517",8.32,8.29,8.42,8.51,01/06,8.11,01/21,15.34
00650L FH香港正2,"1,051,450,038","33,924,056","6,293",30.99,30.39,29.65,33.58,01/21,27.29,01/04,195.66
00651R FH香港反1,"91,824,244","13,022,005","1,241",7.05,7.12,7.15,7.54,01/04,6.76,01/25,51.69
00652  富邦印度,"100,117,808","4,088,722","2,514",24.49,24.48,23.55,25.22,01/21,23.55,01/29,19.91
00653L 富邦印度正2,"1,462,059,843","43,077,233","9,661",33.94,33.96,31.50,35.88,01/21,31.32,01/29,130.92
00654R 富邦印度反1,"47,167,960","4,646,000","1,009",10.15,10.17,10.49,10.52,01/29,9.80,01/21,35.83
00655L 國泰中國A50正2,"4,714,109,899","80,635,986","21,014",58.46,58.57,56.50,62.50,01/13,53.05,01/04,82.74
00656R 國泰中國A50反1,"62,085,270","8,930,000",972,6.95,6.95,7.04,7.31,01/04,6.74,01/13,33.88
00657  國泰日經225,"13,357,524","392,026",87,34.07,34.56,33.94,35.60,01/14,33.38,01/04,9.09
00657K 國泰日經225+U,"23,515","1,900",19,12.38,12.38,12.35,12.69,01/14,11.92,01/06,6.35
00660  元大歐洲50,"34,447,521","1,340,756",441,25.69,25.59,25.00,25.96,01/11,24.93,01/28,14.85
00661  元大日經225,"7,075,212","202,653",100,34.91,34.89,35.02,35.92,01/14,33.58,01/05,2.73
00662  富邦NASDAQ,"449,706,814","9,645,570","3,219",46.62,46.77,46.65,48.62,01/27,45.35,01/06,26.77
00663L 國泰臺灣加權正2,"126,197,906","1,420,054",532,88.87,90.31,86.45,98.30,01/21,80.35,01/04,3.57
00664R 國泰臺灣加權反1,"1,405,194,843","187,686,025","24,299",7.49,7.48,7.64,7.96,01/04,7.16,01/21,42.75
00665L 富邦恒生國企正2,"259,393,908","9,445,400","2,485",27.46,27.46,27.08,30.60,01/21,24.19,01/05,70.15
00666R 富邦恒生國企反1,"22,135,950","2,039,000",110,10.86,10.88,10.84,11.57,01/04,10.22,01/25,20.14
00668  國泰美國道瓊,"50,040,299","1,610,922",726,31.06,31.13,30.69,31.65,01/11,30.00,01/19,9.28
00668K 國泰美國道瓊+U,"21,093","1,900",19,11.10,11.10,11.01,11.24,01/21,10.88,01/05,9.27
00669R 國泰美國道瓊反1,"801,809,177","87,392,810","8,031",9.17,9.16,9.36,9.38,01/05,9.01,01/21,30.92
00670L 富邦NASDAQ正2,"1,286,473,425","15,334,518","4,722",83.89,83.81,83.05,90.65,01/27,78.35,01/06,101.25
00671R 富邦NASDAQ反1,"516,032,675","80,904,810","5,187",6.38,6.39,6.42,6.61,01/06,6.13,01/27,38.00
00673R 元大S&P原油反1,"217,079,103","9,354,214","2,207",23.21,22.85,22.64,25.08,01/05,22.00,01/13,50.01
00674R 元大S&P黃金反1,"79,015,630","6,137,000","1,536",12.88,12.89,13.07,13.24,01/18,12.35,01/06,29.08
00675L 富邦臺灣加權正2,"532,774,043","13,939,782","6,783",38.22,38.73,36.71,42.08,01/21,34.48,01/04,17.47
00676R 富邦臺灣加權反1,"866,187,748","212,701,549","12,202",4.07,4.08,4.17,4.34,01/04,3.90,01/21,34.11
00677U 富邦VIX,"20,644,329,258","5,634,289,064","337,011",3.66,3.69,4.10,4.20,01/12,3.06,01/15,140.87
00678  群益NBI生技,"245,057,195","8,523,776","1,229",28.75,28.79,28.72,30.24,01/26,26.96,01/06,143.30
00680L 元大美債20正2,"62,692,117","2,307,367",853,27.17,27.11,27.15,28.85,01/04,26.38,01/12,75.01
00681R 元大美債20反1,"16,824,580","1,278,000",412,13.16,13.13,13.07,13.28,01/12,12.81,01/06,0.26
00682U 元大美元指數,"57,487,418","3,196,969","1,086",17.98,17.97,18.07,18.20,01/26,17.75,01/06,52.03
00683L 元大美元指數正2,"450,085,090","27,062,000","5,675",16.63,16.57,16.76,16.90,01/11,16.19,01/06,86.09
00684R 元大美元指數反1,"11,151,430","576,000",84,19.36,19.29,19.48,19.50,01/27,19.08,01/12,15.62
00685L 群益臺灣加權正2,"40,474,260","1,199,000",741,33.76,33.90,32.20,36.82,01/21,30.18,01/04,32.95
00686R 群益臺灣加權反1,"35,217,090","7,975,000",724,4.42,4.44,4.54,4.72,01/04,4.24,01/21,25.91
00688L 國泰20年美債正2,"83,122,680","3,033,000",276,27.41,27.36,27.39,29.00,01/05,26.58,01/12,49.60
00689R 國泰20年美債反1,"30,748,610","2,287,000",92,13.44,13.46,13.43,13.65,01/12,13.09,01/05,3.34
00690  兆豐藍籌30,"132,206,004","4,368,911","1,517",30.26,30.15,29.43,31.41,01/21,28.50,01/04,34.05
00692  富邦公司治理,"2,423,834,857","74,087,109","39,416",32.72,32.66,31.96,34.68,01/21,30.40,01/04,28.41
00693U 街口S&P黃豆,"2,729,773,325","131,095,893","19,068",20.82,20.96,20.73,22.00,01/13,19.82,01/25,65.49
00700  富邦恒生國企,"75,351,098","3,726,687",832,20.22,20.18,20.08,21.35,01/22,19.01,01/05,57.48
00701  國泰股利精選30,"1,645,130,286","76,039,048","33,383",21.64,21.47,20.46,22.19,01/15,20.46,01/29,32.58
00702  國泰標普低波高息,"18,364,702","1,031,675",362,17.80,17.74,17.57,18.02,01/19,17.18,01/06,12.60
00703  台新MSCI中國,"132,296,122","4,910,196","1,047",26.94,26.79,27.21,29.02,01/26,24.92,01/05,31.58
00706L 元大S&P日圓正2,"12,258,227","679,493",71,18.04,18.03,17.87,18.28,01/05,17.83,01/12,10.32
00707R 元大S&P日圓反1,"23,242,590","1,242,000",82,18.71,18.64,18.85,18.85,01/28,18.46,01/06,32.22
00708L 元大S&P黃金正2,"2,525,960,745","85,481,049","17,321",29.55,29.33,28.45,32.22,01/06,27.74,01/18,80.59
00709  富邦歐洲,"65,332,114","3,006,701",404,21.73,21.68,21.09,22.01,01/14,21.09,01/29,43.20
00710B FH彭博高收益債,"97,604,126","5,309,336","1,840",18.38,18.39,18.37,18.47,01/04,18.32,01/06,1.50
00711B FH彭博新興債,"48,945,809","2,293,094",366,21.34,21.37,21.39,21.88,01/04,21.08,01/13,0.42
00712  FH富時不動產,"465,981,859","37,027,736","13,304",12.58,12.59,12.56,12.96,01/26,12.29,01/06,22.30
00713  元大台灣高息低波,"141,427,553","4,033,654","2,514",35.06,35.04,34.26,35.58,01/15,34.26,01/29,4.89
00714  群益道瓊美國地產,"55,401,599","3,036,253",497,18.25,18.30,18.41,18.82,01/28,17.83,01/06,40.12
00715L 街口布蘭特油正2,"6,292,188,995","1,231,659,911","82,932",5.11,5.13,5.08,5.64,01/13,4.47,01/05,63.82
00717  富邦美國特別股,"322,760,528","19,365,067","4,755",16.67,16.67,16.49,16.90,01/04,16.46,01/28,6.03
00728  第一金工業30,"638,046,652","22,619,007","10,246",28.21,27.96,25.78,30.88,01/20,25.78,01/29,103.17
00730  富邦臺灣優質高息,"282,237,479","15,099,062","5,989",18.69,18.68,18.16,19.01,01/15,18.16,01/29,10.98
00731  FH富時高息低波,"692,645,280","13,989,697",759,49.51,49.13,47.54,50.65,01/13,47.54,01/29,79.49
00732  國泰RMB短期報酬,"80,772,368","2,050,952",67,39.38,39.38,39.40,39.50,01/05,39.25,01/28,14.37
00733  富邦臺灣中小,"121,872,457","4,555,967",888,26.75,26.63,25.08,27.66,01/14,25.08,01/29,102.01
00735  國泰臺韓科技,"156,034,478","4,660,642","1,669",33.48,33.39,32.14,34.82,01/15,31.00,01/04,108.67
00736  國泰新興市場,"87,405,406","3,736,862",501,23.39,23.46,23.06,24.24,01/26,22.41,01/04,42.82
00737  國泰AI+Robo,"312,864,658","9,623,563","3,047",32.51,32.59,33.21,34.65,01/27,30.59,01/06,27.47
00738U 元大道瓊白銀,"2,747,903,032","101,688,139","21,916",27.02,26.98,27.40,28.94,01/06,25.45,01/11,83.83
00739  元大MSCI A股,"512,095,940","17,370,901","2,891",29.48,29.57,28.94,30.40,01/26,27.94,01/04,37.37
00742  新光內需收益,"50,586,020","2,451,087","1,003",20.64,20.59,20.11,20.90,01/14,20.11,01/29,8.42
00743  國泰中國A150,"60,386,808","1,963,067",513,30.76,30.76,30.00,31.99,01/13,28.76,01/04,36.71
00752  中信中國50,"1,779,719,354","55,986,378","25,428",31.79,31.77,32.56,34.92,01/26,29.56,01/04,83.29
00753L 中信中國50正2,"925,264,996","20,807,113","5,967",44.47,44.34,44.87,51.75,01/25,38.10,01/04,290.72
00757  統一FANG+,"1,067,459,699","23,522,443","9,996",45.38,45.23,45.62,48.04,01/27,43.33,01/07,87.14
00762  元大全球AI,"196,366,238","5,503,477","2,220",35.68,35.65,35.63,36.82,01/22,34.50,01/06,28.59
00763U 街口道瓊銅,"317,108,250","13,281,876","2,894",23.88,23.76,23.32,24.52,01/08,22.88,01/28,35.83
00770  國泰北美科技,"74,096,322","2,291,240",668,32.34,32.31,31.94,33.15,01/25,31.66,01/06,51.40
00771  元大US高息特別股,"27,617,255","1,452,901",526,19.01,19.00,18.91,19.21,01/04,18.80,01/13,2.76
00774B 新光中國政金綠債,"4,142,797","106,774",69,38.80,38.94,38.95,39.23,01/26,38.66,01/12,0.03
00774C 新光中政金綠債+R,"13,433,700","1,492,000",153,9.00,9.01,9.03,9.08,01/13,8.96,01/13,30.76
00775B 新光投等債15+,"1,977,653","45,197",50,43.76,43.77,43.70,44.70,01/04,43.32,01/12,0.13
00783  富邦中証500,"328,953,149","14,784,627","1,303",22.25,22.25,21.70,22.80,01/25,21.70,01/29,89.44
008201 BP上證50,"2,231,675","18,012",74,123.90,124.45,126.00,130.00,01/14,118.50,01/18,3.28
00830  國泰費城半導體,"820,730,460","31,261,909","9,764",26.25,26.34,25.66,27.57,01/22,24.91,01/05,53.93
00850  元大臺灣ESG永續,"2,282,634,590","72,793,960","42,610",31.36,31.40,30.80,32.85,01/21,29.20,01/04,27.17
00851  台新全球AI,"23,645,433","829,340",500,28.51,28.51,28.49,29.54,01/25,27.66,01/06,6.37
00852L 國泰美國道瓊正2,"710,432,717","43,087,135","6,021",16.49,16.59,15.96,17.05,01/21,15.90,01/05,125.38
00861  元大全球未來通訊,"1,239,594,900","44,867,862","16,671",27.63,27.66,27.35,28.71,01/26,26.45,01/05,18.17
00865B 國泰US短期公債,"81,443,251","2,214,711",110,36.77,36.77,36.90,36.95,01/29,36.50,01/15,32.84
00866  新光Shiller CAPE,"663,017","30,187",12,21.96,21.85,21.84,22.06,01/04,21.66,01/06,2.46
00875  國泰網路資安,"620,095,433","19,974,786","7,860",31.04,31.11,31.34,32.45,01/26,29.48,01/06,44.90
00876  元大未來關鍵科技,"3,104,082,755","109,981,420","37,221",28.22,28.23,27.53,29.76,01/22,26.22,01/04,36.23
00878  國泰永續高股息,"3,407,089,205","205,889,305","75,610",16.55,16.58,16.36,17.15,01/15,16.02,01/06,21.93
00881  國泰台灣5G+,"34,958,357,455","2,020,782,318","716,905",17.30,16.98,16.83,18.90,01/22,15.31,01/04,100.34
受益證券,,,,,,,,,,,
Beneficiary Securities,,,,,,,,,,,
01001T 土銀富邦R1,"7,547,167","408,017",120,18.50,18.54,18.66,20.12,01/21,18.06,01/18,0.07
01002T 土銀國泰R1,"54,494,116","2,892,746",670,18.84,18.83,18.73,18.98,01/06,18.59,01/18,0.21
01003T 兆豐新光R1,"22,620,040","1,165,336",262,19.41,19.44,19.35,19.60,01/29,19.25,01/27,0.10
01004T 土銀富邦R2,"6,009,023","342,473",244,17.55,17.56,17.51,18.19,01/06,17.12,01/05,0.05
01007T 兆豐國泰R2,"28,109,861","1,395,301",320,20.15,20.11,19.67,20.49,01/06,19.50,01/11,0.19
01009T 王道圓滿R1,"9,490,020","985,000",266,9.63,9.66,9.60,9.80,01/19,9.55,01/22,0.33
01010T 京城樂富R1,"16,449,670","1,496,000",221,11.00,10.77,10.80,10.99,01/12,10.50,01/04,0.14
認購售權證,,,,,,,,,,,
Warrants,,,,,,,,,,,
03001P 玉晶光群益02售17,"120,880","75,000",10,1.61,1.63,1.41,1.95,01/18,1.01,01/06,
03004P 華擎群益02售02,"3,200","9,000",2,0.36,0.38,0.35,0.40,01/06,0.35,01/12,
03005P 旭富群益01售05,"246,640","260,000",15,0.95,0.85,0.29,1.08,01/04,0.29,01/19,
03006P 華通永豐01售01,"9,500","50,000",1,0.19,0.19,0.19,0.19,01/04,0.19,01/04,
03006Q 恒指麥證02售05,"2,550","22,000",4,0.12,0.19,0.10,0.45,01/08,0.04,01/19,
03006X 元展06,"2,320,500","64,000",11,36.26,35.30,36.30,36.40,01/14,33.20,01/07,
03007X 元展07,"7,935,100","422,000",75,18.80,19.05,18.40,19.70,01/08,18.40,01/29,
03008P 玉晶光中信01售01,"47,580","60,000",5,0.79,0.84,1.04,1.04,01/20,0.70,01/13,
03009P 玉晶光凱基01售08,"968,300","508,000",10,1.91,2.10,2.37,2.37,01/20,1.89,01/13,
03009X 元展09,"202,100","9,000",2,22.46,22.45,22.50,22.50,01/29,22.40,01/07,
03010P 國巨國泰03售01,100,"5,000",1,0.02,0.02,0.02,0.02,01/26,0.02,01/26,
03010X 元展10,"1,262,700","25,000",18,50.51,51.38,55.50,57.00,01/15,43.00,01/04,
03012X 元展12,"1,783,400","141,000",24,12.65,12.39,11.20,13.60,01/11,11.20,01/29,
03014P 玉晶光永豐01售05,"1,620","3,000",3,0.54,0.54,0.63,0.63,01/07,0.49,01/04,
03014X 元展14,"235,000","10,000",1,23.50,23.50,23.50,23.50,01/04,23.50,01/04,
03015X 元展15,"392,500","11,000",2,35.68,35.60,35.50,35.70,01/04,35.50,01/08,
03017X 元展17,"53,660","14,000",2,3.83,3.97,3.81,4.13,01/14,3.81,01/27,
03018P 華邦電群益01售03,"46,810","8,000",8,5.85,6.87,10.30,10.30,01/11,1.92,01/04,
03019Q 恒指麥證06售04,"96,760","92,000",8,1.05,1.10,1.26,1.27,01/28,0.79,01/19,
03020P 大立光群益01售11,"930,500","447,000",31,2.08,2.38,3.04,3.04,01/18,1.97,01/08,
03020X 元展20,"141,530","33,000",7,4.29,4.43,4.11,4.59,01/13,4.11,01/28,
03021P 玉晶光群益02售25,"548,330","347,000",39,1.58,2.23,2.03,3.08,01/18,1.32,01/04,
03022X 富展01,"3,881,400","139,000",114,27.92,27.96,28.30,32.10,01/27,21.50,01/04,
03025P 國巨元大01售12,90,"1,000",1,0.09,0.09,0.09,0.09,01/07,0.09,01/07,
03026X 元展23,"316,600","39,000",34,8.12,8.19,8.00,8.60,01/13,7.55,01/04,
03028P 玉晶光元大01售11,"8,490","4,000",3,2.12,2.15,2.40,2.40,01/18,2.03,01/12,
03028X 元展25,"195,600","7,000",2,27.94,28.05,27.30,28.80,01/20,27.30,01/29,
03029P 玉晶光元大02售05,"1,056,850","907,000",51,1.17,1.20,1.19,1.63,01/21,0.79,01/05,
03029X 元展26,"7,050,700","356,000",111,19.81,19.58,19.00,21.00,01/26,19.00,01/29,
03030P 玉晶光元大03售01,"3,548,360","2,714,000",126,1.31,1.40,1.30,1.79,01/18,1.01,01/06,
03032P 華通國票03售01,"332,030","575,000",22,0.58,0.55,0.52,0.68,01/04,0.42,01/14,
03033P 微星國票03售01,"1,500","10,000",1,0.15,0.15,0.15,0.15,01/21,0.15,01/21,
03033X 元展30,"5,904,550","992,000",102,5.95,5.95,5.60,6.70,01/14,5.55,01/26,
03034P 欣興國票03售01,"20,030","1,163,000",35,0.02,0.02,0.01,0.04,01/05,0.01,01/27,
03035X 元展32,"204,950","23,000",4,8.91,9.07,8.50,9.65,01/12,8.50,01/20,
03038P 玉晶光國票02售03,"44,540","11,000",6,4.05,4.23,4.83,4.83,01/21,3.25,01/07,
03038X 元展35,"59,600","4,000",3,14.90,14.83,15.10,15.30,01/15,14.10,01/20,
03039P 玉晶光國票02售04,"6,543,820","2,558,000",71,2.56,2.69,2.50,3.99,01/20,1.55,01/05,
03039X 元展36,"1,040,900","133,000",13,7.83,8.38,8.70,8.70,01/26,7.50,01/07,
03040P 玉晶光國票03售02,"407,220","138,000",6,2.95,3.01,3.17,3.17,01/08,2.59,01/06,
03041P 玉晶光國票03售03,"3,447,690","1,226,000",10,2.81,2.48,2.79,3.14,01/18,1.88,01/07,
03042P 玉晶光國票04售01,"2,409,120","928,000",44,2.60,2.72,2.52,3.44,01/18,1.83,01/06,
03043P 健策國票03售01,"64,840","962,000",11,0.07,0.09,0.02,0.27,01/05,0.02,01/18,
03044P 康控國票03售01,"918,840","525,000",50,1.75,1.63,1.68,2.04,01/21,1.26,01/05,
03045P 台表科國票03售01,"1,622,180","2,397,000",28,0.68,0.69,0.55,0.83,01/12,0.51,01/29,
03046P 緯穎國票03售01,"953,760","2,363,000",62,0.40,0.58,0.35,1.19,01/04,0.22,01/21,
03047P 矽創國票03售01,"259,640","1,064,000",24,0.24,0.20,0.14,0.31,01/04,0.09,01/27,
03047X 元展44,"106,450","10,000",4,10.64,10.44,10.00,11.20,01/04,9.85,01/18,
03048F 恒指麥證02購01,"137,740","112,000",5,1.23,1.23,1.23,1.30,01/21,1.15,01/19,
03048P 南電國票03售01,"90,610","4,276,000",85,0.02,0.03,0.02,0.07,01/05,0.01,01/28,
03049F 恒指麥證02購02,"3,320","1,000",1,3.32,3.32,3.32,3.32,01/21,3.32,01/21,
03049P 台積電元富07售11,"2,244,970","20,891,000",707,0.11,0.12,0.13,0.17,01/28,0.06,01/13,
03049X 元展46,"637,500","111,000",13,5.74,5.75,5.45,6.15,01/07,5.45,01/28,
03050F 恒指麥證02購03,"102,990","22,000",6,4.68,5.60,7.55,7.75,01/19,3.36,01/08,
03050P 台積電統一01售12,"3,400","340,000",47,0.01,0.01,0.01,0.01,01/18,0.01,01/18,
03050X 元展47,"96,430","23,000",5,4.19,4.21,4.26,4.26,01/11,4.15,01/06,
03051P 玉晶光統一01售14,"139,500","219,000",3,0.64,0.68,0.78,0.78,01/08,0.62,01/07,
03052X 元展49,"740,300","36,000",33,20.56,20.71,19.00,22.70,01/11,19.00,01/29,
03053P 台灣50中信04售03,"218,140","3,231,000",152,0.07,0.08,0.05,0.17,01/04,0.02,01/22,
03054P 宏碁中信03售02,"12,030","173,000",17,0.07,0.09,0.04,0.13,01/20,0.04,01/29,
03055F 恒指麥證04購01,"118,300","19,000",3,6.23,6.50,8.70,8.70,01/19,4.90,01/04,
03056F 恒指麥證04購02,"111,750","19,000",2,5.88,6.00,6.00,6.00,01/21,5.85,01/21,
03056P 台灣50兆豐03售02,"1,950","189,000",8,0.01,0.02,0.01,0.03,01/25,0.01,01/29,
03057F 恒指麥證04購03,"2,800","1,000",1,2.80,2.80,2.80,2.80,01/26,2.80,01/26,
03058P 台積電凱基01售18,"1,500","30,000",1,0.05,0.05,0.05,0.05,01/14,0.05,01/14,
03059P 台積電凱基01售19,50,"5,000",5,0.01,0.01,0.01,0.01,01/13,0.01,01/13,
03060F 恒指麥證06購01,"354,570","83,000",24,4.27,4.42,4.33,6.40,01/25,3.24,01/05,
03060X 元展55,"59,700","4,000",4,14.92,14.60,14.00,15.90,01/11,14.00,01/20,
03061F 恒指麥證06購02,"118,630","36,000",11,3.30,3.35,2.43,4.12,01/22,2.43,01/29,
03062P 世紀鋼凱基02售02,"56,410","478,000",16,0.12,0.11,0.08,0.14,01/04,0.07,01/07,
03063P 臺股指凱基04售03,"6,199,240","52,177,000","1,386",0.12,0.12,0.10,0.16,01/04,0.08,01/29,
03064P 台灣50群益01售14,10,"1,000",1,0.01,0.01,0.01,0.01,01/11,0.01,01/11,
03066P 台積電群益01售19,200,"20,000",1,0.01,0.01,0.01,0.01,01/05,0.01,01/05,
03072P 台積電國泰03售04,"30,730","1,675,000",62,0.02,0.03,0.01,0.05,01/07,0.01,01/29,
03073P 大立光國泰03售04,"7,480","4,000",4,1.87,1.87,2.20,2.20,01/15,1.44,01/04,
03074P 大立光國泰03售05,"77,040","45,000",6,1.71,1.55,1.65,1.85,01/19,1.14,01/04,
03075X 元展70,"125,550","20,000",9,6.28,6.24,5.85,6.55,01/13,5.85,01/28,
03076P 台積電富邦03售06,"11,030","273,000",15,0.04,0.04,0.07,0.10,01/11,0.01,01/22,
03078P 上銀統一01售05,150,"15,000",2,0.01,0.01,0.01,0.01,01/19,0.01,01/19,
03081P 華通元大01售06,"32,800","60,000",5,0.55,0.50,0.33,0.63,01/04,0.33,01/18,
03087P 聯發科元大01售24,800,"40,000",1,0.02,0.02,0.02,0.02,01/05,0.02,01/05,
03088P 大立光元大01售17,"3,700","2,000",1,1.85,1.85,1.85,1.85,01/15,1.85,01/15,
03090P 臺股指元大01售19,30,"3,000",3,0.01,0.01,0.01,0.01,01/21,0.01,01/21,
03093P 台灣50凱基04售10,"56,920","961,000",47,0.06,0.07,0.08,0.12,01/04,0.04,01/27,
03094X 大立光元大68展08,"207,400","21,000",18,9.88,11.00,10.30,12.50,01/04,7.70,01/13,
03095P 國巨凱基02售07,"12,000","200,000",1,0.06,0.06,0.06,0.06,01/08,0.06,01/08,
03096P 台積電凱基03售05,"46,490","477,000",37,0.10,0.07,0.10,0.13,01/05,0.01,01/19,
03097P 聯發科凱基01售20,"1,700","10,000",1,0.17,0.17,0.17,0.17,01/05,0.17,01/05,
03099P 玉晶光凱基03售01,"185,400","210,000",19,0.88,1.02,1.03,1.28,01/21,0.73,01/04,
03100P 玉晶光凱基03售04,"124,790","77,000",10,1.62,1.81,1.86,2.13,01/18,1.38,01/06,
03101P GIS凱基01售04,"21,170","39,000",4,0.54,0.57,0.54,0.67,01/04,0.52,01/05,
03102P 臺股指凱基03售08,"549,010","11,111,000",189,0.05,0.05,0.03,0.07,01/12,0.02,01/29,
03103P 聯發科元富01售02,400,"40,000",1,0.01,0.01,0.01,0.01,01/18,0.01,01/18,
03104P 大立光元富04售01,"2,913,470","1,497,000",54,1.95,2.01,1.95,2.24,01/20,1.76,01/06,
03105P 大立光元富04售02,"10,000","4,000",1,2.50,2.50,2.50,2.50,01/15,2.50,01/15,
03106P T50反1元大01售06,"9,040","4,000",4,2.26,2.23,2.18,2.34,01/15,2.18,01/18,
03110P 聯發科元大01售26,"7,200","80,000",1,0.09,0.09,0.09,0.09,01/04,0.09,01/04,
03114P 台灣50富邦03售05,"4,900","245,000",4,0.02,0.02,0.02,0.02,01/06,0.02,01/06,
03115P 玉晶光第一01售01,"20,040","14,000",2,1.43,1.32,1.58,1.58,01/15,1.06,01/08,
03116P 玉晶光康和01售02,"8,888,860","2,017,000",35,4.41,3.04,3.21,4.79,01/20,1.49,01/05,
03118P 台積電國票01售07,"8,450","845,000",2,0.01,0.01,0.01,0.01,01/07,0.01,01/07,
03120P 臺指反元大04售10,"6,746,750","2,690,000",272,2.51,2.47,2.35,2.58,01/21,2.35,01/26,
03124P 台郡元大01售07,"46,920","152,000",10,0.31,0.39,0.13,0.51,01/04,0.13,01/22,
03126P 旭富凱基01售04,"452,070","558,000",45,0.81,0.67,0.40,1.07,01/04,0.32,01/14,
03127P 台表科凱基01售03,"26,300","40,000",4,0.66,0.64,0.68,0.68,01/05,0.61,01/04,
03128P 玉晶光國泰03售04,"625,320","385,000",48,1.62,1.82,1.90,2.30,01/15,1.36,01/06,
03129P 台光電統一01售06,"2,850","15,000",1,0.19,0.19,0.19,0.19,01/14,0.19,01/14,
03130P 滬深2X元富07售01,"306,590","1,373,000",33,0.22,0.25,0.24,0.38,01/04,0.18,01/25,
03131P 南亞科元富07售02,"383,880","2,258,000",40,0.17,0.18,0.20,0.24,01/28,0.13,01/08,
03132P 玉晶光台新01售01,"54,600","23,000",3,2.37,1.96,2.52,2.52,01/25,1.40,01/04,
03134P 台積電中信07售05,"639,750","2,817,000",98,0.23,0.22,0.18,0.38,01/04,0.11,01/21,
03135P 台灣50麥證01售03,"2,670","267,000",4,0.01,0.01,0.01,0.01,01/21,0.01,01/21,
03136P 大立光康和01售01,"2,439,880","1,696,000",158,1.44,1.23,0.90,1.55,01/20,0.90,01/25,
